DATE,TOTAL_CASES
2020-12-11,1115201
2020-12-10,1102096
2020-12-09,1088346
2020-12-08,1076180
2020-12-07,1067870
2020-12-06,1063449
2020-12-05,1054273
2020-12-04,1041846
2020-12-03,1028610
2020-12-02,1013747
2020-12-01,999924
2020-11-30,990811
2020-11-29,985075
2020-11-28,973593
2020-11-27,958416
2020-11-26,941112
2020-11-25,924422
2020-11-24,909066
2020-11-23,876333
2020-11-22,861331
2020-11-21,843475
2020-11-20,819262
2020-11-19,796798
2020-11-18,772823
2020-11-17,752940
2020-11-16,733788
2020-11-15,712972
2020-11-14,691118
2020-11-13,665547
2020-11-12,641496
2020-11-11,618813
2020-11-10,593592
2020-11-09,568138
2020-11-08,546425
2020-11-07,521640
2020-11-06,493765
2020-11-05,466679
2020-11-04,439536
2020-11-03,414844
2020-11-02,395480
2020-11-01,379902
